rodada,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,BERTScore_F1,BERTScore_Precision,BERTScore_Recall,cosine_similarity,F1_Token
1,0.6513390689048291,0.512723598183761,0.5853050926226664,0.3530596017638782,0.9147195816040039,0.9034496575593949,0.9269100278615952,0.9492823749780654,0.5791773209851676
2,0.6605886924248066,0.5133188845560818,0.5885534212001906,0.3441010171784925,0.9161490797996521,0.9020248055458069,0.9315430402755738,0.9494414806365967,0.5794290618869046
3,0.6571835889639899,0.5201645894731983,0.5887788754669308,0.35420938737558405,0.9169918745756149,0.9035056620836258,0.9318099528551101,0.9499223798513412,0.5856306357761563
4,0.6800400830979072,0.5377450337545411,0.6066597476183277,0.3846681319248641,0.9202174484729767,0.9069699883460999,0.9343126326799392,0.9510690420866013,0.5987669426891803
5,0.6852487292919177,0.5417470020645938,0.6075030941418855,0.3739824042557396,0.9218975096940994,0.9074241518974304,0.9373301953077317,0.9517599463462829,0.613711665300923
6,0.651618212648408,0.522418504000266,0.5863781511976749,0.33750985772767284,0.9192575514316559,0.9071342676877976,0.9321100354194641,0.9485524713993072,0.5946977990071225
7,0.6565662288618641,0.5156204738533863,0.581254957390609,0.3826681261966338,0.9170685291290284,0.9070808351039886,0.9277210652828216,0.9513149410486221,0.5865852888053703
8,0.6695815614761005,0.5293904950846853,0.6009183455171516,0.38141261497638945,0.9203827291727066,0.9104146391153336,0.9311313718557358,0.9503297865390777,0.594223533544538
9,0.6606716846756923,0.5253020150196467,0.5975079723904626,0.350808969703342,0.9157811015844345,0.9030898660421371,0.9293528527021409,0.9495307952165604,0.5902191386469513
10,0.6495779045352319,0.5080819283268574,0.5702683169016466,0.34720564686083966,0.9169084101915359,0.9035087645053863,0.9316681891679763,0.9476032018661499,0.5841138403852424
